,contrast,homogenity,energy,correlation,Dissimilarity,class
223,1242.24278591542,0.06198579809380587,0.009207928169783487,0.7236446383843719,24.246015138598256,2
224,2104.713890826423,0.07658392028920051,0.01057153174485609,0.7531055860206607,29.86600015500272,2
225,1342.835141698313,0.06511855525070522,0.010735697062919809,0.6372603384132923,24.14120747113074,2
226,1872.9808571650005,0.07506591127536712,0.012280504357408984,0.7381066951047145,27.662003668397535,2
227,267.815973029528,0.08685718281810242,0.014807672513121551,0.8785326884546112,12.29291637603658,2
228,644.6147795086416,0.07195103419186873,0.010384381432830886,0.8538631036344198,17.408212560386474,2
229,624.941622103387,0.10634493798831067,0.015766231673121172,0.8683045973659291,16.23429305846186,2
230,446.96019013666074,0.12983756527938473,0.022436325665747613,0.7716721235992717,14.20448732852825,2
231,481.8615309101243,0.08333408301908866,0.012068220959379943,0.8080956927113683,15.72418558991449,2
232,594.2913921826965,0.08333299156489084,0.013080489768112154,0.7095710824276016,16.770014725257692,2
233,1718.6608346896069,0.07214530272187832,0.010518590647765292,0.7437132679880487,26.49979978816296,2
234,1254.2118305820352,0.06997745701976281,0.010365304401180499,0.7515691770763483,23.90594564571547,2
235,679.4678304787001,0.09080425049774213,0.011326560024900739,0.8047360364653638,16.839927407062955,2
236,252.20306001188357,0.10928125519074329,0.01758040940527624,0.9173796691596432,10.969083417293136,2
237,598.6553643855435,0.11680103188945205,0.016288734356857036,0.8739580470347577,14.942196905112507,2
238,194.48500994600738,0.13506615099416727,0.020027366711705803,0.9573378389758526,8.857998139967451,2
239,414.5504985920588,0.10248671976387451,0.014322327438075676,0.8414449091687921,13.821172078844715,2
240,1243.0976581673513,0.13140818682944638,0.03606766653468484,0.8182520427042409,21.557112041127386,2
241,353.65814797592293,0.08808458757673839,0.015264911979678126,0.8498451277658864,13.239860239220855,2
242,267.2930067942856,0.09803828674350751,0.017111482682385413,0.8788516451215955,11.604187656617324,2
243,842.4057325169858,0.05123795796707066,0.01081294375145825,0.69090635728295,21.433788007956807,2
244,821.6958136350719,0.08725480929715093,0.012515775852428019,0.8357639401983901,18.825757575757578,2
245,1030.7117918313568,0.08365785111603831,0.013754945779335621,0.7366864891888855,20.63634426102457,2
246,255.84292412617225,0.11933589778415811,0.02393277579301939,0.792518492206292,10.176980805497433,2
247,1248.8083908135059,0.08446032928814232,0.014287788361315397,0.7932465549158325,23.543517011547696,2
248,514.833707923222,0.07484995052444718,0.012634217553925875,0.688832782056979,16.401922033635593,2
249,679.4229313596321,0.060021510817761886,0.010731548691202698,0.6852555137438466,19.161829290345914,2
250,1228.2858766695088,0.14007769280085827,0.030590837330121697,0.8248330960420188,21.486566431579224,2
251,1350.6775749825624,0.11274915744204378,0.014827700410465905,0.7718009177969718,21.46206954455036,2
252,432.1617065798652,0.09267928962524592,0.01303429204655781,0.8683396700794136,13.727879821230207,2
253,259.70886615515775,0.11647943860220605,0.017740033129372862,0.9043201039953284,10.790965925237025,2
254,318.40044304942006,0.08971183320670202,0.014930105839300057,0.8213352608742573,12.847910046759154,2
255,711.8833410834688,0.06416282621629668,0.011968597206065894,0.7158488614055458,19.3197899713245,2
